Construction and Extraction,"Helper - Painters, Paperhangers, Plasterers, and/or Stucco Masons"
Construction and Extraction,"Helper - Pipelayers, Plumbers, Pipefitters, and/or Steamfitters"
Construction and Extraction,Helper - Roofers
Construction and Extraction,Highway Maintenance Worker
Construction and Extraction,Insulation Worker
Construction and Extraction,"Mason - Brick, Block, Stone, Tile and/or Marble"
Construction and Extraction,Mining Machine Operator
Construction and Extraction,Painter and/or Paperhanger
Construction and Extraction,"Paving, Surfacing, and/or Tamping Equipment Operator"
Construction and Extraction,Pile-Driver Operator
Construction and Extraction,Pipelayer
Construction and Extraction,"Plumber, Pipefitter, and/or Steamfitter"
Construction and Extraction,Rail-Track Laying and/or Maintenance Equipment Operator
Construction and Extraction,Reinforcing Iron and/or Rebar Worker
Construction and Extraction,Rock Splitter
Construction and Extraction,Roofer
Construction and Extraction,Rotary Drill Operator
Construction and Extraction,Roustabout
Construction and Extraction,Segmental Paver
Construction and Extraction,Septic Tank Servicer and/or Sewer Pipe Cleaner
Construction and Extraction,Sheet Metal Worker
Construction and Extraction,Solar Energy Installation Manager
Construction and Extraction,Solar Photovoltaic Installer
Construction and Extraction,Solar Thermal Installer and/or Technician
Construction and Extraction,Structural Iron and Steel Worker
Construction and Extraction,Supervisor/Manager of Construction and/or Extraction Workers
Construction and Extraction,Taper
Construction and Extraction,Weatherization Installer and/or Technician
Construction and Extraction,Other - Construction and Related Work
Construction and Extraction,Other - Construction Equipment Operator
Construction and Extraction,Other - Extraction Worker
Construction and Extraction,Other - Helper
Construction and Extraction,Other - Mining Worker
Construction and Extraction,Other - Oil and Gas Worker
Educational Instruction and Library,Adaptive Physical Education Specialist
Educational Instruction and Library,"Adult Literacy, Remedial Education, and/or GED Teacher and/or Instructor"
Educational Instruction and Library,Archivist
Educational Instruction and Library,Audio-Visual Collections Specialist
Educational Instruction and Library,Curator
Educational Instruction and Library,Elementary School Teacher (except Special Education)
Educational Instruction and Library,Farm and/or Home Management Advisor
Educational Instruction and Library,Graduate Teaching Assistant
